year,crop,region,area_hectares,yield_kg_per_hectare,rainfall_mm,temperature_avg,soil_ph,nitrogen_ppm,phosphorus_ppm,potassium_ppm
2020,rice,punjab,1000,4500,1200,28.5,6.2,120,35,85
2020,wheat,punjab,1500,3200,400,18.2,6.8,95,42,65
2020,maize,maharashtra,800,5200,800,26.8,6.5,110,38,75
2020,cotton,gujarat,1200,1800,600,32.1,7.2,85,28,95
2020,sugarcane,uttar_pradesh,500,65000,1100,29.3,6.9,140,45,88
2021,rice,punjab,1050,4650,1150,29.1,6.3,125,37,82
2021,wheat,punjab,1480,3350,420,17.8,6.7,98,44,68
2021,maize,maharashtra,820,5400,850,27.2,6.4,115,40,78
2021,cotton,gujarat,1180,1950,580,31.8,7.1,88,30,92
2021,sugarcane,uttar_pradesh,520,67000,1080,28.9,7.0,145,47,85
2022,rice,punjab,1100,4800,1300,28.8,6.4,130,39,80
2022,wheat,punjab,1520,3500,450,18.5,6.9,102,46,70
2022,maize,maharashtra,850,5600,900,26.5,6.6,118,42,82
2022,cotton,gujarat,1220,2100,620,32.5,7.0,90,32,88
2022,sugarcane,uttar_pradesh,540,69000,1200,29.7,6.8,150,49,90
2023,rice,punjab,1150,4950,1250,29.2,6.5,135,41,85
2023,wheat,punjab,1550,3650,480,18.1,7.0,105,48,72
2023,maize,maharashtra,880,5800,950,27.0,6.7,122,44,85
2023,cotton,gujarat,1250,2250,650,33.0,6.9,92,34,90
2023,sugarcane,uttar_pradesh,560,71000,1150,30.1,6.7,155,51,92
2020,soybean,madhya_pradesh,900,1800,900,26.5,6.5,95,35,70
2021,soybean,madhya_pradesh,920,1950,950,27.0,6.6,100,37,72
2022,soybean,madhya_pradesh,950,2100,1000,26.8,6.7,105,39,75
2023,soybean,madhya_pradesh,980,2250,1050,27.2,6.8,110,41,78
2020,groundnut,andhra_pradesh,600,2200,700,28.0,6.3,80,30,85
2021,groundnut,andhra_pradesh,620,2350,750,28.5,6.4,85,32,88
2022,groundnut,andhra_pradesh,640,2500,800,28.2,6.5,90,34,90
2023,groundnut,andhra_pradesh,660,2650,850,28.8,6.6,95,36,92
2020,tomato,karnataka,200,35000,600,24.5,6.2,110,45,95
2021,tomato,karnataka,210,37000,650,25.0,6.3,115,47,98
2022,tomato,karnataka,220,39000,700,24.8,6.4,120,49,100
2023,tomato,karnataka,230,41000,750,25.2,6.5,125,51,102
2020,potato,west_bengal,400,25000,800,20.5,5.8,90,40,80
2021,potato,west_bengal,420,26500,850,21.0,5.9,95,42,82
2022,potato,west_bengal,440,28000,900,20.8,6.0,100,44,85
2023,potato,west_bengal,460,29500,950,21.2,6.1,105,46,88
2020,onion,maharashtra,300,18000,500,26.0,6.8,75,35,90
2021,onion,maharashtra,310,19000,550,26.5,6.9,80,37,92
2022,onion,maharashtra,320,20000,600,26.2,7.0,85,39,95
2023,onion,maharashtra,330,21000,650,26.8,7.1,90,41,98
